Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,MACD_Signal,RSI,ATR,OBV,Percent_R,ADX,CCI,ROC,Percent_Change,Signal_Line,%D,%K
25/02/2013,20.030001,20.16,19.665001,19.705,15.964218,36091200,19.87357171,19.92297945,0.181811885,0.162648958,49.27016252,0.387446028,105692600,-66.07146228,23.78627142,15.84472914,-1.252818842,-1.252818842,20.00009391,59.27235672,46.0748275
26/02/2013,19.76,19.885,19.725,19.844999,16.077635,25640200,19.889643,19.91258206,0.158348711,0.161788909,51.68479823,0.372628455,131332800,-58.92865251,22.7770917,12.13092213,0.710474499,0.710474499,19.96907493,49.17554917,41.70639771
27/02/2013,19.885,20.165001,19.725,20.075001,16.263973,18656200,19.94035736,19.93423792,0.156509077,0.160732942,55.4375399,0.377440779,149989000,-47.19385061,22.45277553,34.86895154,1.158992248,1.158992248,19.99026015,43.46107891,42.60201153
28/02/2013,20.035,20.190001,19.895,19.895,16.118145,24696600,19.98214314,19.92900619,0.138925135,0.156371381,52.03143025,0.371552224,125292400,-59.89163138,22.20446805,32.28958544,-0.896642546,-0.896642546,19.97120812,42.99012147,44.66195517
01/03/2013,19.860001,20.030001,19.73,20.014999,16.215364,24473600,20.02785736,19.9404719,0.133137919,0.151724688,54.05795714,0.366441422,149766000,-53.38761701,21.46038329,17.25113512,0.603161598,0.603161598,19.97996629,44.5909779,46.508967
04/03/2013,19.934999,20.24,19.815001,20.190001,16.357138,19551400,20.09000029,19.97374245,0.141046808,0.149589112,56.91657368,0.370624106,169317400,-43.90240862,21.25137703,38.12474915,0.874354278,0.874354278,20.02197323,46.25901217,47.60611433
05/03/2013,20.35,20.52,20.315001,20.475,16.588043,24707800,20.1607145,20.04057679,0.168370823,0.153345454,61.15553763,0.367722313,194025200,-39.32587215,21.63313433,93.86103322,1.411584873,1.411584873,20.11257859,49.52548291,54.4613674
06/03/2013,20.575001,20.655001,20.360001,20.424999,16.547533,15663800,20.18642864,20.09183308,0.183871087,0.159450581,60.03942998,0.362527862,178361400,-36.66678056,22.24386252,92.799207,-0.244205128,-0.244205128,20.17506267,54.03415376,60.03497956
07/03/2013,20.415001,20.495001,20.305,20.309999,16.454361,13348200,20.19642857,20.12092187,0.184745983,0.164509661,57.44280191,0.350204515,165013200,-46.25012188,22.61576465,65.51802186,-0.563035523,-0.563035523,20.20204994,57.91625181,59.25240847
08/03/2013,20.43,20.584999,20.235001,20.5,16.608295,22782600,20.18785707,20.17146562,0.19848285,0.171304299,60.4836371,0.350189764,187795800,-30.41669201,23.14595955,72.46075344,0.935504724,0.935504724,20.26163995,60.5031744,62.22213519
11/03/2013,20.415001,20.57,20.360001,20.565001,16.660952,16923800,20.17642857,20.22393701,0.212168705,0.17947718,61.49722341,0.340176138,204719600,-24.9999375,23.63828337,77.9240861,0.317078049,0.317078049,20.32231216,62.52854218,66.11108287
12/03/2013,20.535,20.535,20.254999,20.360001,16.494873,28815200,20.16821436,20.24207887,0.204120088,0.184405762,56.56910027,0.338020842,175904400,-29.7979798,23.66774505,45.34475171,-0.996839242,-0.996839242,20.32984993,66.64278276,71.59513023
13/03/2013,20.395,20.41,20.165001,20.295,16.442211,17323800,20.18642857,20.24913502,0.190302771,0.185585164,55.06238252,0.331376425,158580600,-36.36373737,23.33385402,13.30785873,-0.319258334,-0.319258334,20.32287994,69.10633163,69.61278178
14/03/2013,20.395,20.620001,20.280001,20.58,16.673101,28377200,20.23107143,20.29325035,0.200043588,0.188476849,60.08261901,0.331992394,186957800,-7.575858586,23.56151504,67.47350052,1.40428677,1.40428677,20.37430395,72.20957336,75.42080808
15/03/2013,20.434999,20.620001,20.295,20.355,16.490818,35299600,20.2775,20.30148364,0.187446866,0.188270852,54.87092669,0.331493009,151658200,-32.25813736,23.77291456,43.94280768,-1.093294461,-1.093294461,20.37044316,73.21144847,74.60075556
18/03/2013,20.125,20.25,19.924999,20.184999,16.353086,26053800,20.30178571,20.28595235,0.161880159,0.182992713,51.25344285,0.338529294,125604400,-50.53779512,22.52700409,-35.9588127,-0.835180545,-0.835180545,20.33335433,73.2992111,69.87606965
19/03/2013,20.174999,20.219999,19.764999,20.065001,16.255877,32476200,20.30107143,20.25649217,0.130431985,0.172480568,48.80743684,0.34684863,93128200,-63.78371483,20.99117845,-57.96372209,-0.594490988,-0.594490988,20.27968366,65.20564759,51.14011756
20/03/2013,20.254999,20.545,20.225,20.49,16.600191,25300200,20.34357143,20.28762655,0.138209752,0.165626404,56.69082593,0.356359371,118428400,-17.83792666,20.36701684,65.59747511,2.118111033,2.118111033,20.32174693,58.98768056,55.94685446
21/03/2013,20.385,20.450001,20.08,20.200001,16.36525,24035800,20.35678586,20.27594314,0.11959458,0.15642004,50.92775584,0.360190844,94392600,-51.12348062,19.31116489,10.20604727,-1.415319668,-1.415319668,20.29739775,54.27953266,55.75162596
22/03/2013,20.32,20.615,20.254999,20.610001,16.697412,19189800,20.38678586,20.32048419,0.136353696,0.152406771,57.50509215,0.364105713,113582400,-5.056168413,18.78832628,80.44609576,2.02970287,2.02970287,20.3599184,62.34198506,75.32747477
25/03/2013,20.709999,20.91,20.635,20.860001,16.899954,43688200,20.41428593,20.39241977,0.167873189,0.155500054,60.94270618,0.359526662,157270600,-4.366721077,19.02921506,163.7566093,1.213003338,1.213003338,20.45993492,70.29899245,79.81787663
26/03/2013,20.959999,21,20.655001,20.735001,16.798679,25929800,20.43642893,20.43809726,0.180683354,0.160536714,58.39892493,0.358488972,131340800,-21.45739153,19.45625553,152.4730177,-0.599232953,-0.599232953,20.51494813,81.61730813,89.70657299
27/03/2013,20.645,20.879999,20.575001,20.875,16.912098,22330400,20.47678614,20.49635096,0.199828749,0.168395121,60.39294787,0.354668188,153671200,-10.12144929,19.55073784,137.3718881,0.675182027,0.675182027,20.58695851,85.84753188,88.01814603
28/03/2013,20.834999,21.004999,20.76,20.99,17.00527,27182000,20.51178614,20.56217083,0.221725242,0.179061145,62.00404083,0.346834675,180853200,-1.209596774,19.94322674,171.6581415,0.550898204,0.550898204,20.66756681,88.93174661,89.0705208
01/04/2013,20.73,21.030001,20.540001,20.690001,16.840443,20077600,20.52071471,20.57921486,0.212422286,0.185733373,55.6451411,0.357060769,160775600,-26.87742786,19.48038227,104.7526989,-1.429247261,-1.429247261,20.67205364,88.11750295,87.26384202
02/04/2013,20.725,21.18,20.715,21.15,17.214857,29034800,20.57714321,20.65531954,0.239407955,0.19646829,62.06877291,0.366556357,189810400,-2.120139844,19.44421217,167.9375605,2.223291338,2.223291338,20.76764292,88.75510267,89.93094517
03/04/2013,21.139999,21.305,20.775,20.91,17.01951,25813800,20.62107179,20.68927694,0.238676978,0.204910027,57.39813443,0.378230903,163996600,-25.64933399,19.72349678,133.2174587,-1.134751773,-1.134751773,20.79611433,86.32638443,81.7843661
04/04/2013,20.889999,21.15,20.815001,21.059999,17.141607,15531800,20.65535743,20.73870654,0.247350043,0.213398031,59.45183041,0.37514291,179528400,-15.90914551,19.9828325,115.8430278,0.717355332,0.717355332,20.84889127,85.7185905,85.44046022
05/04/2013,20.695,20.82,20.465,20.780001,16.913702,27949600,20.68571464,20.74421247,0.228990352,0.216516495,54.19947767,0.390846916,151578800,-34.09082202,18.90786501,28.67809466,-1.329525229,-1.329525229,20.83511321,80.66946416,74.78356616
08/04/2013,20.799999,20.855,20.635,20.815001,16.942188,19046400,20.73071479,20.75365094,0.214788425,0.216170881,54.73777516,0.378643565,170625200,-31.81809622,18.0171571,44.88387533,0.168431176,0.168431176,20.83109077,77.65044615,72.72731208
09/04/2013,20.815001,20.91,20.459999,20.639999,16.799755,23151600,20.77178607,20.73849735,0.187253554,0.210387415,51.47979539,0.383740525,147473600,-54.28579592,16.86742279,17.29035382,-0.840749419,-0.840749419,20.79287242,69.14865784,59.93509528
10/04/2013,20.639999,20.889999,20.6,20.809999,16.938122,26478200,20.79464314,20.7480309,0.177107959,0.203731524,54.32387092,0.377044702,173951800,-40.4082449,15.79981236,38.5576789,0.823643451,0.823643451,20.79629773,63.49723167,57.82928765
11/04/2013,20.9,20.98,20.825001,20.905001,17.015451,26442400,20.84500029,20.76896025,0.174719315,0.197929082,55.88026617,0.362255866,200394200,-38.09510658,14.85979526,70.35851792,0.456520925,0.456520925,20.81803839,57.83377793,55.73695087
12/04/2013,20.934999,21.059999,20.885,21,17.092768,33938400,20.87285736,20.79976555,0.178435034,0.194030273,57.44191594,0.348880375,234332600,-36.09463184,14.27255406,85.76087787,0.454431932,0.454431932,20.85443071,58.45563692,61.80067223
15/04/2013,20.934999,20.934999,20.549999,20.575001,16.746843,27089000,20.85250021,20.76979694,0.145409708,0.18430616,49.0733668,0.356103277,207243600,-86.39031196,13.96928717,-1.394280563,-2.023804762,-2.023804762,20.79854477,54.67031321,46.47331654
16/04/2013,20.74,20.815001,20.620001,20.705,16.852657,32861800,20.85035729,20.76115735,0.128248365,0.173094601,51.40545802,0.347810186,240105400,-71.00583313,13.68768219,-2.753864078,0.63182986,0.63182986,20.77983581,47.92568771,35.50307436
17/04/2013,20.559999,20.639999,20.264999,20.309999,16.531149,36055600,20.81000007,20.7010029,0.081831297,0.15484194,44.70640811,0.354395244,204049800,-95.67308108,14.4616591,-139.4901076,-1.907756581,-1.907756581,20.68586845,32.53999406,15.64359127
18/04/2013,20.360001,20.379999,19.975,19.995001,16.274759,32357600,20.73892871,20.60686932,0.019404052,0.127754362,40.20658491,0.358009798,171692200,-98.49616541,15.84964738,-227.3066011,-1.550950347,-1.550950347,20.54769496,20.91832414,11.60830679
19/04/2013,19.93,20.305,19.83,20.280001,16.506731,29289800,20.709643,20.56328687,-0.006992268,0.100805036,45.54693523,0.366366241,200982000,-69.49145763,17.43436509,-209.8440246,1.425356268,1.425356268,20.49415617,13.12166556,12.11309863
22/04/2013,20.245001,20.309999,20.125,20.235001,16.470108,27501600,20.64428593,20.51951542,-0.031183206,0.074407388,44.86556699,0.353411438,173480400,-72.54230508,18.88300421,-159.7034522,-0.22189348,-0.22189348,20.44232513,14.5149209,19.82335729
23/04/2013,20.389999,20.465,20.139999,20.450001,16.645102,23914000,20.61142886,20.51024683,-0.032629858,0.052999939,48.80607138,0.351382121,197394400,-53.03022727,19.52063129,-100.7504516,1.062515391,1.062515391,20.44386031,22.30504197,34.97867001
24/04/2013,20.525,20.639999,20.27,20.334999,16.551493,22903000,20.55964314,20.48688046,-0.042565374,0.033886876,46.87618057,0.352711898,174491400,-58.94313735,19.37852732,-71.20816463,-0.562356941,-0.562356941,20.42208805,31.09893469,38.49477676
25/04/2013,20.370001,20.51,20.305,20.375,16.584055,24018600,20.5307145,20.47196306,-0.046673571,0.017774787,47.65155735,0.342161048,198510000,-55.69102089,19.24657363,-67.13816707,0.196710115,0.196710115,20.41267044,39.19510609,44.1118715
26/04/2013,20.4,20.764999,20.32,20.684999,16.836376,27520000,20.52142864,20.50036785,-0.024631087,0.009293612,53.33590318,0.349506616,226030000,-30.48782966,18.11960367,-10.95532436,1.521467485,1.521467485,20.46713615,44.74421743,51.62600403
29/04/2013,20.809999,20.844999,20.639999,20.745001,16.885216,16754000,20.52892879,20.53298561,-0.002294153,0.006976059,54.3687344,0.339184715,242784000,-25.60961432,16.86471027,31.85311777,0.290074948,0.290074948,20.52270912,52.82501797,62.73717838
30/04/2013,20.83,20.84,20.565001,20.65,16.807892,17755600,20.51750029,20.54858753,0.00765401,0.007111649,52.39151623,0.334600021,225028400,-33.33327913,15.89181747,21.38589516,-0.457946471,-0.457946471,20.5481673,61.51764712,70.18975896
01/05/2013,20.99,21.235001,20.83,20.93,17.035803,26820400,20.51928593,20.59944252,0.037697112,0.013228742,57.31828083,0.352485805,251848800,-21.70824078,15.82536931,113.6475766,1.355932203,1.355932203,20.62453384,68.68107531,73.11628859
02/05/2013,20.855,21.1,20.825001,21.055,17.137537,15547000,20.5232145,20.66018352,0.070777068,0.024738407,59.34115631,0.346951034,267395800,-12.81144996,15.74397976,112.6944729,0.597228858,0.597228858,20.71062707,73.56279698,77.38234338
03/05/2013,21.07,21.375,21.07,21.27,17.312536,15546600,20.57285729,20.74149238,0.113038833,0.042398492,62.6224924,0.34502596,282942400,-6.796116505,16.42631177,161.2171944,1.021135122,1.021135122,20.82250166,78.90889874,86.22806425
06/05/2013,21.23,21.42,21.17,21.389999,17.410206,14482000,20.62178579,20.82795993,0.154434281,0.06480565,64.35174264,0.338238391,297424400,-1.886855346,17.17434759,162.799191,0.564170193,0.564170193,20.93600112,85.48186679,92.83519273
07/05/2013,21.485001,21.625,21.415001,21.525,17.520077,18318000,20.70857157,20.92089861,0.195875987,0.091019717,66.24384457,0.330864292,315742400,-5.571030641,18.36605506,175.2180666,0.631140749,0.631140749,21.0538009,91.43730761,95.24866584
08/05/2013,21.469999,21.68,21.455,21.639999,17.613691,14363400,20.82607143,21.01677866,0.235286065,0.119872987,67.81114934,0.323302557,330105800,-2.162216216,19.59911599,158.0050992,0.53425784,0.53425784,21.17104052,94.95905261,96.79329927
09/05/2013,21.584999,21.645,21.375,21.48,17.483467,15657600,20.91178564,21.07854151,0.250718131,0.146042016,63.40051408,0.319495231,314448200,-12.86173633,20.35420014,122.7770597,-0.739366947,-0.739366947,21.23283242,95.05899023,93.1350056
10/05/2013,21.545,21.68,21.455,21.540001,17.532303,12767600,21.00499993,21.14006944,0.264737999,0.169781213,64.3372996,0.312745572,327215800,-9.090838253,21.14817085,117.4103132,0.279334264,0.279334264,21.29426613,93.96334709,91.9617364
13/05/2013,21.540001,21.6,21.285,21.594999,17.577068,19774400,21.0867855,21.20072671,0.277092574,0.191243485,65.21615191,0.312906602,346990200,-6.028439716,21.05240788,93.81450088,0.255329607,0.255329607,21.35441271,91.92324574,90.67299523
14/05/2013,21.639999,21.82,21.52,21.665001,17.634041,19843000,21.18178564,21.26262995,0.289198539,0.210834496,66.35273118,0.311984702,366833200,-10.2309571,21.59371639,104.5745241,0.324158385,0.324158385,21.41653036,91.39488443,91.54992165
15/05/2013,21.725,21.870001,21.485001,21.865,17.796833,15800000,21.28821421,21.34294596,0.311341896,0.230935976,69.4264879,0.317200081,382633200,-0.322644953,22.23004335,102.9778538,0.923143276,0.923143276,21.50622429,92.23185654,94.47265274
16/05/2013,21.75,21.865,21.375,21.434999,17.446835,17765200,21.34178564,21.3552197,0.29084055,0.24291689,57.30540124,0.329542932,364868000,-33.33348659,22.27565115,72.00270908,-1.966617882,-1.966617882,21.49197923,90.46451495,85.37097045
17/05/2013,21.584999,21.594999,21.084999,21.32,17.353231,29333000,21.382857,21.35052374,0.26229011,0.246791534,54.56184005,0.342432723,335535000,-42.1456705,21.06805112,35.34402682,-0.536501075,-0.536501075,21.45758339,84.85878528,74.73273265
20/05/2013,21.235001,21.280001,20.655001,20.76,16.897429,38054400,21.39071414,21.27178724,0.192260106,0.235885249,43.61208128,0.365473171,297480600,-91.358107,20.57418912,-37.691244,-2.626641651,-2.626641651,21.31806671,68.16376058,44.38757864
21/05/2013,20.805,21.205,20.77,21.115,17.186373,25555600,21.40392843,21.25088227,0.163521384,0.221412476,50.40667894,0.371153659,323036200,-62.14,20.11560298,-23.97566447,1.710019268,1.710019268,21.27745337,51.30190626,34.7854075
22/05/2013,20.969999,21.32,20.77,20.889999,17.003239,23459200,21.39214264,21.2027645,0.121193001,0.201368581,46.57596012,0.383928397,299577000,-80.65860082,19.24664034,-39.04314683,-1.065597916,-1.065597916,21.19996249,33.70691673,21.94776406
23/05/2013,20.795,20.934999,20.684999,20.91,17.01951,21527000,21.36642836,21.16372924,0.088244143,0.178743693,46.96182276,0.374362083,321104000,-79.01242798,18.71238322,-78.40773628,0.09574438,0.09574438,21.14197,27.59872065,26.0629904
24/05/2013,20.709999,20.975,20.665001,20.975,17.072424,15468600,21.33678557,21.13856534,0.066609065,0.156316768,48.26946605,0.36976472,336572600,-73.66263374,18.05197334,-79.28761061,0.31085605,0.31085605,21.108576,23.41095565,22.22211248
28/05/2013,21.125,21.24,20.76,20.91,17.01951,16052600,21.292857,21.10808996,0.043714242,0.133796263,47.02099858,0.377638669,320520000,-79.01242798,17.08750721,-62.5457568,-0.309892729,-0.309892729,21.0688608,23.68531321,22.77083676
29/05/2013,20.879999,20.895,20.385,20.395,16.600332,34549800,21.2039285,21.0130113,-0.015804086,0.103876193,38.52000597,0.388164478,285970200,-99.32659978,16.76126734,-152.6476538,-2.462936394,-2.462936394,20.93408864,20.33079847,15.99944616
30/05/2013,20.459999,20.625,20.450001,20.475,16.665453,14780600,21.13214279,20.94127646,-0.055873385,0.071926277,40.32484626,0.376867015,300750800,-93.93939802,16.45833032,-143.721735,0.392253003,0.392253003,20.84227091,16.00360256,9.240524739
31/05/2013,20.445,20.445,20.075001,20.084999,16.348009,29007200,21.02821407,20.82710613,-0.117741167,0.033992788,34.93983916,0.3785193,271743600,-99.44300836,17.17184206,-176.8571068,-1.904766789,-1.904766789,20.69081653,9.223434061,2.430331281
03/06/2013,20.125,20.23,19.754999,20.23,16.46603,23324000,20.93071414,20.74749198,-0.153304266,-0.003466622,38.24198932,0.38541085,295067600,-77.54134511,18.5049442,-166.4401479,0.721936805,0.721936805,20.59865322,7.120979619,9.692082836
04/06/2013,20.26,20.555,20.155001,20.459999,16.653242,26716800,20.84464257,20.70915958,-0.161072536,-0.034987805,43.16924131,0.386452861,321784400,-66.66669819,18.55428606,-102.9215709,1.136920415,1.136920415,20.57092238,10.30179897,18.78298278
05/06/2013,20.48,20.485001,20.030001,20.094999,16.356155,26948600,20.71821393,20.62727151,-0.194440013,-0.066878247,37.98930496,0.391349085,294835800,-83.88626356,18.87881292,-118.5667344,-1.783968807,-1.783968807,20.4757377,17.48121,23.96856438
06/06/2013,20.129999,20.17,19.805,20.120001,16.376503,22329800,20.6242855,20.55963544,-0.216372321,-0.096777062,38.53337641,0.389467007,317165600,-80.16293478,19.65032944,-128.1607913,0.124419016,0.124419016,20.40459036,21.94874944,23.09470116
07/06/2013,20.26,20.639999,20.165001,20.59,16.759054,24826200,20.57214264,20.56368405,-0.193597174,-0.116141084,47.80444369,0.39879065,341991800,-46.64533761,18.87115752,-59.3575514,2.335979009,2.335979009,20.44167229,25.61058452,29.76848802
10/06/2013,20.59,20.605,20.25,20.334999,16.551493,20579800,20.54178543,20.53319271,-0.193889122,-0.131690692,43.93268932,0.395662746,321412000,-62.93932081,18.14764074,-61.89620647,-1.238470131,-1.238470131,20.42033763,29.87133048,36.75080227
